"","Team","City","State","Type","Primary.Conference","lon","lat"
"348","Wildcats","Abilene","Texas","Private/ Churches of Christ","Southland Conference[A 41]",-99.7331439,32.4487364
"312","Falcons","Colorado Springs","Colorado","Federal academy","Mountain West Conference",-104.8213634,38.8338816
"1","Zips","Akron","Ohio","State","Mid-American Conference",-81.5190053,41.0814447
"2","Crimson Tide","Tuscaloosa","Alabama","State","Southeastern Conference",-87.5691735,33.2098407
"3","Bulldogs and Lady Bulldogs","Huntsville","Alabama","State","Southwestern Athletic Conference",-86.5861037,34.7303688
"5","Hornets and Lady Hornets","Montgomery","Alabama","State","Southwestern Athletic Conference",-86.2999689,32.3668052
"6","Great Danes","Albany","New York","State","America East Conference",-73.7562317,42.6525793
"7","Braves and Lady Braves","Lorman","Mississippi","State","Southwestern Athletic Conference",-91.0501057,31.8204396
"8","Eagles","Washington","District of Columbia","Private/Methodist","Patriot League",-77.0368707,38.9071923
"9","Mountaineers","Boone","North Carolina","State","Sun Belt Conference",-81.6745517,36.216795
"13","Trojans","Little Rock","Arkansas","State","Sun Belt Conference",-92.2895948,34.7464809
"14","Golden Lions","Pine Bluff","Arkansas","State","Southwestern Athletic Conference",-92.0031955,34.2284312
"10","Wildcats","Tucson","Arizona","State","Pac-12 Conference",-110.926479,32.2217429
"11","Sun Devils","Tempe","Arizona","State","Pac-12 Conference",-111.9400054,33.4255104
"12","Razorbacks and Razorback women[A 1]","Fayetteville","Arkansas","State","Southeastern Conference",-94.1574263,36.0625795
"15","Red Wolves","Jonesboro","Arkansas","State","Sun Belt Conference",-90.704279,35.8422967
"313","Black Knights","West Point","New York","Federal academy","Patriot League",-73.9559721,41.3914827
"16","Tigers","Auburn","Alabama","State","Southeastern Conference",-85.4807825,32.6098566
"17","Governors and Lady Govs","Clarksville","Tennessee","State","Ohio Valley Conference",-87.3594528,36.5297706
"18","Cardinals","Muncie","Indiana","State","Mid-American Conference",-85.3863599,40.1933767
"19","Bears and Lady Bears","Waco","Texas","Private/Baptist","Big 12 Conference",-97.1466695,31.549333
"20","Bruins","Nashville","Tennessee","Private/Christian","Ohio Valley Conference",-86.7816016,36.1626638
"21","Wildcats","Daytona Beach","Florida","Private/Methodist","Mid-Eastern Athletic Conference",-81.0228331,29.2108147
"22","Bearcats","Vestal","New York","State","America East Conference",-76.053575,42.0855898
"23","Broncos","Boise","Idaho","State","Mountain West Conference",-116.2146068,43.6187102
"24","Eagles","Chestnut Hill","Massachusetts","Private/Catholic","Atlantic Coast Conference",-71.166187,42.3303798
"25","Terriers","Boston","Massachusetts","Private/Non-sectarian","Patriot League",-71.0588801,42.3600825
"26","Falcons","Bowling Green","Ohio","State","Mid-American Conference",-83.6513229,41.3747744
"27","Braves","Peoria","Illinois","Private/Non-Sectarian","Missouri Valley Conference",-89.5889864,40.6936488
"29","Bears","Providence","Rhode Island","Private/Non-Sectarian","Ivy League",-71.4128343,41.8239891
"30","Bulldogs","Smithfield","Rhode Island","Private/Non-Sectarian","Northeast Conference",-71.5495101,41.9220496
"31","Bison","Lewisburg","Pennsylvania","Private/Non-Sectarian","Patriot League",-76.8844101,40.9645293
"32","Bulls","Buffalo","New York","State","Mid-American Conference",-78.8783689,42.8864468
"33","Bulldogs","Indianapolis","Indiana","Private/Non-Sectarian","Big East Conference",-86.158068,39.768403
"28","Cougars","Provo","Utah","Private/Latter-Day Saints","West Coast Conference",-111.6585337,40.2338438
"34","Golden Bears","Berkeley","California","State","Pac-12 Conference",-122.272747,37.8715926
"38","Mustangs","San Luis Obispo","California","State","Big West Conference",-120.6596156,35.2827524
"47","Fighting Camels and Lady Camels","Buies Creek","North Carolina","Private/Baptist","Big South Conference",-78.7355728,35.4132168
"48","Golden Griffins","Buffalo","New York","Private/Catholic","Metro Atlantic Athletic Conference",-78.8783689,42.8864468
"49","Bears and Sugar Bears","Conway","Arkansas","State","Southland Conference",-92.4421011,35.0886963
"50","Blue Devils","New Britain","Connecticut","State","Northeast Conference",-72.7795419,41.6612104
"52","Chippewas","Mount Pleasant","Michigan","State","Mid-American Conference",-84.7675139,43.5978075
"53","Cougars","Charleston","South Carolina","State","Colonial Athletic Association",-79.9310512,32.7764749
"54","Buccaneers[A 5]","Charleston","South Carolina","Private/Baptist","Big South Conference",-79.9310512,32.7764749
"203","49ers","Charlotte","North Carolina","State","Conference USA",-80.8431267,35.2270869
"292","Mocs and Lady Mocs","Chattanooga","Tennessee","State","Southern Conference",-85.3096801,35.0456297
"55","Cougars","Chicago","Illinois","State","Western Athletic Conference",-87.6297982,41.8781136
"56","Bearcats","Cincinnati","Ohio","State","American Athletic Conference",-84.5120196,39.1031182
"58","Tigers","Clemson","South Carolina","State","Atlantic Coast Conference",-82.8373654,34.6834382
"59","Vikings","Cleveland","Ohio","State","Horizon League",-81.6943605,41.49932
"60","Chanticleers","Conway","South Carolina","State","Sun Belt Conference",-79.0478143,33.8360034
"61","Raiders","Hamilton","New York","Private/Non-sectarian","Patriot League",-75.5446238,42.8270136
"62","Buffaloes","Boulder","Colorado","State","Pac-12 Conference",-105.2705456,40.0149856
"63","Rams","Fort Collins","Colorado","State","Mountain West Conference",-105.084423,40.5852602
"64","Lions","Manhattan","New York","Private/Non-sectarian","Ivy League",-73.9712488,40.7830603
"66","Eagles","Baltimore","Maryland","State","Mid-Eastern Athletic Conference",-76.6121893,39.2903848
"67","Big Red","Ithaca","New York","Private/Statutory state","Ivy League",-76.5018807,42.4439614
"68","Bluejays","Omaha","Nebraska","Private/Catholic","Big East Conference",-95.9979883,41.2523634
"43","Titans","Fullerton","California","State","Big West Conference",-117.9242966,33.8703596
"45","Matadors","Northridge","California","State","Big West Conference",-118.530123,34.2381251
"41","Roadrunners","Bakersfield","California","State","Western Athletic Conference",-119.0187125,35.3732921
"69","Big Green","Hanover","New Hampshire","Private/Non-sectarian","Ivy League",-72.2895526,43.7022451
"70","Wildcats","Davidson","North Carolina","Private/Presbyterian","Atlantic 10 Conference",-80.8486846,35.4993031
"71","Flyers","Dayton","Ohio","Private/Catholic","Atlantic 10 Conference",-84.1916069,39.7589478
"72","Fightin' Blue Hens","Newark","Delaware","Private-state hybrid","Colonial Athletic Association",-75.7496572,39.6837226
"73","Hornets and Lady Hornets","Dover","Delaware","State","Mid-Eastern Athletic Conference",-75.5243682,39.158168
"74","Pioneers","Denver","Colorado","Private/Non-sectarian","The Summit League",-104.990251,39.7392358
"75","Blue Demons","Chicago","Illinois","Private/Catholic","Big East Conference",-87.6297982,41.8781136
"76","Titans","Detroit","Michigan","Private/Catholic","Horizon League",-83.0457538,42.331427
"77","Bulldogs","Des Moines","Iowa","Private/Non-sectarian","Missouri Valley Conference",-93.6091064,41.6005448
"78","Dragons","Philadelphia","Pennsylvania","Private/Non-sectarian","Colonial Athletic Association",-75.1652215,39.9525839
"79","Blue Devils","Durham","North Carolina","Private/Non-sectarian","Atlantic Coast Conference",-78.898619,35.9940329
"80","Dukes","Pittsburgh","Pennsylvania","Private/Catholic","Atlantic 10 Conference",-79.9958864,40.4406248
"83","Panthers","Charleston","Illinois","State","Ohio Valley Conference",-88.1761521,39.4961458
"84","Colonels and Lady Colonels[A 7]","Richmond","Kentucky","State","Ohio Valley Conference",-84.2946539,37.7478572
"85","Eagles","Ypsilanti","Michigan","State","Mid-American Conference",-83.6135572,42.1966292
"86","Eagles","Cheney","Washington","State","Big Sky Conference",-117.5757622,47.4873895
"81","Pirates and Lady Pirates","Greenville","North Carolina","State","American Athletic Conference",-77.3663538,35.612661
"87","Phoenix","Elon","North Carolina","Private/Non-sectarian","Colonial Athletic Association",-79.5115433,36.0982762
"82","Buccaneers and Lady Buccaneers","Johnson City","Tennessee","State","Southern Conference",-82.3534727,36.3134397
"88","Purple Aces","Evansville","Indiana","Private/Methodist","Missouri Valley Conference",-87.5710898,37.9715592
"90","Knights","Hackensack","New Jersey","Private/Non-sectarian","Northeast Conference",-74.0434736,40.8859325
"89","Stags","Fairfield","Connecticut","Private/Catholic","Metro Atlantic Athletic Conference",-73.2612615,41.1408363
"93","Owls","Boca Raton","Florida","State","Conference USA",-80.1289321,26.3683064
"94","Eagles","Fort Myers","Florida","State","Atlantic Sun Conference",-81.8723084,26.640628
"95","Panthers","Miami","Florida","State","Conference USA",-80.1917902,25.7616798
"91","Gators","Gainesville","Florida","State","Southeastern Conference",-82.3248262,29.6516344
"92","Rattlers and Lady Rattlers","Tallahassee","Florida","State","Mid-Eastern Athletic Conference",-84.2807329,30.4382559
"97","Rams","Bronx","New York","Private/Catholic","Atlantic 10 Conference",-73.8654295,40.8370495
"42","Bulldogs","Fresno","California","State","Mountain West Conference",-119.7725868,36.7468422
"96","Seminoles","Tallahassee","Florida","State","Atlantic Coast Conference",-84.2807329,30.4382559
"98","Paladins and Lady Paladins","Greenville","South Carolina","Private/Non-sectarian","Southern Conference",-82.3940104,34.8526176
"101","Colonials","Washington","District of Columbia","Private/Non-sectarian","Atlantic 10 Conference",-77.0368707,38.9071923
"105","Eagles and Lady Eagles","Statesboro","Georgia","State","Sun Belt Conference",-81.7831674,32.4487876
"99","Runnin' Bulldogs","Boiling Springs","North Carolina","Private/Baptist","Big South Conference",-81.6670407,35.254292
"100","Patriots","Fairfax","Virginia","State","Atlantic 10 Conference",-77.3063733,38.8462236
"102","Hoyas","Washington","District of Columbia","Private/Catholic","Big East Conference",-77.0368707,38.9071923
"103","Bulldogs and Lady Bulldogs[A 8]","Athens","Georgia","State","Southeastern Conference",-83.357567,33.9519347
"106","Panthers","Atlanta","Georgia","State","Sun Belt Conference",-84.3879824,33.7489954
"104","Yellow Jackets","Atlanta","Georgia","State","Atlantic Coast Conference",-84.3879824,33.7489954
"107","Bulldogs","Spokane","Washington","Private/Catholic","West Coast Conference",-117.4260466,47.6587802
"108","Tigers and Lady Tigers","Grambling","Louisiana","State","Southwestern Athletic Conference",-92.7140402,32.5276503
"349","Antelopes","Phoenix","Arizona","For Profit/Christian","Western Athletic Conference[A 42]",-112.0740373,33.4483771
"339","Phoenix[A 39]","Green Bay","Wisconsin","State","Horizon League",-88.019826,44.519159
"109","Pirates and Lady Pirates","Hampton","Virginia","Private/Non-sectarian","Mid-Eastern Athletic Conference",-76.3452218,37.0298687
"110","Hawks","West Hartford","Connecticut","Private/Non-sectarian","America East Conference",-72.7420151,41.7620842
"111","Crimson","Cambridge[A 9]","Massachusetts","Private/Non-sectarian","Ivy League",-71.1047026,42.3342827
"112","Rainbow Warriors and Rainbow Wahine[A 10]","Honolulu","Hawaii","State","Big West Conference",-157.8583333,21.3069444
"113","Panthers","High Point","North Carolina","Private/Methodist","Big South Conference",-80.0053176,35.9556923
"114","Pride","Hempstead","New York","Private/Non-sectarian","Colonial Athletic Association",-73.6187397,40.7062128
"115","Crusaders","Worcester","Massachusetts","Private/Catholic","Patriot League",-71.8022934,42.2625932
"116","Cougars","Houston","Texas","State","American Athletic Conference",-95.3698028,29.7604267
"117","Huskies","Houston","Texas","Private/Baptist","Southland Conference",-95.3698028,29.7604267
"118","Bison and Lady Bison","Washington","District of Columbia","Private/Non-sectarian","Mid-Eastern Athletic Conference",-77.0368707,38.9071923
"119","Vandals","Moscow","Idaho","State","Big Sky Conference",-117.0001651,46.7323875
"120","Bengals","Pocatello","Idaho","State","Big Sky Conference",-112.4455344,42.8713032
"123","Fighting Illini","Urbana–Champaign","Illinois","State","Big Ten Conference",-88.2072697,40.1105875
"122","Redbirds","Normal","Illinois","State","Missouri Valley Conference",-88.9906312,40.5142026
"350","Cardinals","San Antonio","Texas","Private/Catholic","Southland Conference[A 41]",-98.4936282,29.4241219
"124","Hoosiers","Bloomington","Indiana","State","Big Ten Conference",-86.5263857,39.165325
"125","Sycamores","Terre Haute","Indiana","State","Missouri Valley Conference",-87.4139092,39.4667034
"128","Gaels","New Rochelle","New York","Private/Catholic","Metro Atlantic Athletic Conference",-73.7823549,40.9114882
"129","Hawkeyes","Iowa City","Iowa","State","Big Ten Conference",-91.5301683,41.6611277
"130","Cyclones","Ames","Iowa","State","Big 12 Conference",-93.6319131,42.0307812
"126","Mastodons","Fort Wayne","Indiana","State","The Summit League",-85.1393513,41.079273
"127","Jaguars","Indianapolis","Indiana","State","The Summit League",-86.158068,39.768403
"131","Tigers and Lady Tigers","Jackson","Mississippi","State","Southwestern Athletic Conference",-90.1848103,32.2987573
"132","Dolphins","Jacksonville","Florida","Private/Non-Sectarian","Atlantic Sun Conference",-81.655651,30.3321838
"133","Gamecocks","Jacksonville","Alabama","State","Ohio Valley Conference",-85.7613536,33.8137125
"134","Dukes","Harrisonburg","Virginia","State","Colonial Athletic Association",-78.8689155,38.4495688
"135","Jayhawks","Lawrence","Kansas","State","Big 12 Conference",-95.2352501,38.9716689
"136","Wildcats","Manhattan","Kansas","State","Big 12 Conference",-96.5716694,39.1836082
"137","Owls and Lady Owls","Kennesaw","Georgia","State","Atlantic Sun Conference",-84.6154897,34.0234337
"138","Golden Flashes","Kent","Ohio","State","Mid-American Conference",-81.3578859,41.1536674
"139","Wildcats","Lexington","Kentucky","State","Southeastern Conference",-84.5037164,38.0405837
"148","Ragin' Cajuns","Lafayette","Louisiana","State","Sun Belt Conference",-92.0198427,30.2240897
"140","Explorers","Philadelphia","Pennsylvania","Private/Catholic","Atlantic 10 Conference",-75.1652215,39.9525839
"151","Bulldogs and Lady Techsters","Ruston","Louisiana","State","Conference USA",-92.637927,32.5232053
"141","Leopards","Easton","Pennsylvania","Private/Presbyterian","Patriot League",-75.2207323,40.688432
"142","Cardinals and Lady Cardinals","Beaumont","Texas","State","Southland Conference",-94.1265562,30.080174
"44","49ers[A 3]","Long Beach","California","State","Big West Conference",-118.1937395,33.7700504
"143","Mountain Hawks","Bethlehem","Pennsylvania","Private/Non-Sectarian","Patriot League",-75.3704579,40.6259316
"144","Flames and Lady Flames","Lynchburg","Virginia","Private/Baptist","Big South Conference",-79.1422464,37.4137536
"145","Bisons and Lady Bisons","Nashville","Tennessee","Private/Churches of Christ","Atlantic Sun Conference",-86.7816016,36.1626638
"146","Blackbirds","Brooklyn","New York","Private/Non-Sectarian","Northeast Conference",-73.9441579,40.6781784
"147","Lancers","Farmville","Virginia","State","Big South Conference",-78.3919401,37.3020965
