"","uni_names","id"
"1","Abil Christian","2000"
"2","Air Force","2005"
"3","Akron","2006"
"4","Alabama","333"
"5","Alabama A&M","2010"
"6","Alabama State","2011"
"7","Albany","399"
"8","Alcorn State","2016"
"9","American U","44"
"10","Appalachian St","2026"
"11","AR-Pine Bluff","2029"
"12","Arizona","12"
"13","Arizona State","9"
"14","Arkansas","8"
"15","Arkansas State","2032"
"16","Army","349"
"17","Auburn","2"
"18","Austin Peay","2046"
"19","Ball State","2050"
"20","Baylor","239"
"21","Belmont","2057"
"22","Bethune-Cookman","2065"
"23","Binghamton","2066"
"24","Boise State","68"
"25","Boston College","103"
"26","Boston U","104"
"27","Bowling Green","189"
"28","Bradley","71"
"29","Brown","225"
"30","Bryant","2803"
"31","Bucknell","2083"
"32","Buffalo","2084"
"33","Butler","2086"
"34","BYU","252"
"35","Cal","25"
"36","Cal Poly","13"
"37","Campbell","2097"
"38","Canisius","2099"
"39","Cent Arkansas","2110"
"40","Cent Conn St","2115"
"41","Cent Michigan","2117"
"42","Charleston","232"
"43","Charleston So","2127"
"44","Charlotte","2429"
"45","Chattanooga","236"
"46","Chicago State","2130"
"47","Cincinnati","2132"
"48","Clemson","228"
"49","Cleveland State","325"
"50","Coast Carolina","324"
"51","Colgate","2142"
"52","Colorado","38"
"53","Colorado State","36"
"54","Columbia","171"
"55","Coppin State","2154"
"56","Cornell","172"
"57","Creighton","156"
"58","CS Fullerton","2239"
"59","CS Northridge","2463"
"60","CSU Bakersfield","2934"
"61","Dartmouth","159"
"62","Davidson","2166"
"63","Dayton","2168"
"64","Delaware","48"
"65","Delaware State","2169"
"66","Denver","2172"
"67","DePaul","305"
"68","Detroit","2174"
"69","Drake","2181"
"70","Drexel","2182"
"71","Duke","150"
"72","Duquesne","2184"
"73","E Illinois","2197"
"74","E Kentucky","2198"
"75","E Michigan","2199"
"76","E Washington","331"
"77","ECU","151"
"78","Elon","2210"
"79","ETSU","2193"
"80","Evansville","339"
"81","Fair Dickinson","161"
"82","Fairfield","2217"
"83","FAU","2226"
"84","FGCU","526"
"85","FIU","2229"
"86","Florida","57"
"87","Florida A&M","50"
"88","Fordham","2230"
"89","Fort Wayne","2870"
"90","Fresno State","278"
"91","FSU","52"
"92","Furman","231"
"93","G Washington","45"
"94","Ga Southern","290"
"95","Gardner-Webb","2241"
"96","George Mason","2244"
"97","Georgetown","46"
"98","Georgia","61"
"99","Georgia State","2247"
"100","Georgia Tech","59"
"101","Gonzaga","2250"
"102","Grambling St","2755"
"103","Grand Canyon","2253"
"104","Green Bay","2739"
"105","Hampton","2261"
"106","Hartford","42"
"107","Harvard","108"
"108","Hawai'i","62"
"109","High Point","2272"
"110","Hofstra","2275"
"111","Holy Cross","107"
"112","Houston","248"
"113","Houston Baptist","2277"
"114","Howard","47"
"115","Idaho","70"
"116","Idaho State","304"
"117","Illinois","356"
"118","Illinois State","2287"
"119","Incarnate Word","2916"
"120","Indiana","84"
"121","Indiana State","282"
"122","Iona","314"
"123","Iowa","2294"
"124","Iowa State","66"
"125","IUPUI","85"
"126","Jackson State","2296"
"127","Jacksonville","294"
"128","Jacksonville St","55"
"129","JMU","256"
"130","Kansas","2305"
"131","Kansas State","2306"
"132","Kennesaw St","338"
"133","Kent State","2309"
"134","Kentucky","96"
"135","LA-Lafayette","309"
"136","La Salle","2325"
"137","LA Tech","2348"
"138","Lafayette","322"
"139","Lamar","2320"
"140","LBSU","299"
"141","Lehigh","2329"
"142","Liberty","2335"
"143","Lipscomb","288"
"144","Little Rock","2031"
"145","LIU Brooklyn","2341"
"146","Longwood","2344"
"147","Louisville","97"
"148","Loyola (CHI)","2350"
"149","Loyola (MD)","2352"
"150","Loyola Mary","2351"
"151","LSU","99"
"152","Maine","311"
"153","Manhattan","2363"
"154","Marist","2368"
"155","Marquette","269"
"156","Marshall","276"
"157","Maryland","120"
"158","McNeese","2377"
"159","MD-E Shore","2379"
"160","Memphis","235"
"161","Mercer","2382"
"162","Miami","2390"
"163","Miami (OH)","193"
"164","Michigan","130"
"165","Michigan State","127"
"166","Mid Tennessee","2393"
"167","Milwaukee","270"
"168","Minnesota","135"
