"","x"
"1","Abilene Christian"
"2","Abilene Christian "
"3","Adams State"
"4","Air Force"
"5","Akron"
"6","Alabama"
"7","Alabama A&M"
"8","Alabama State"
"9","Alaska Anchorage"
"10","Albany"
"11","Albany State GA"
"12","Albion"
"13","Alcorn State"
"14","Alexandria"
"15","Allen"
"16","Alma"
"17","American"
"18","Angelo State"
"19","Antelope Valley"
"20","Appalachian State"
"21","Aquinas College"
"22","Arizona"
"23","Arizona Christian"
"24","Arizona State"
"25","Ark Monticello"
"26","Arkansas"
"27","Arkansas-Fort Smith"
"28","Arkansas-Pine Bluff"
"29","Arkansas State"
"30","Arkansas Tech"
"31","Arlington Baptist"
"32","Army"
"33","AUB Montgomery"
"34","Auburn"
"35","Austin"
"36","Austin Peay"
"37","Ave Maria"
"38","Averett"
"39","Ball State"
"40","Baylor"
"41","Belmont"
"42","Belmont Abbey"
"43","Benedictine (AZ)"
"44","Bethesda"
"45","Bethune-Cookman"
"46","Binghamton"
"47","Biola"
"48","Black Hills State"
"49","Blue Mountain College"
"50","Bluefield College"
"51","Bob Jones"
"52","Boise State"
"53","Boston College"
"54","Boston University"
"55","Bowie State"
"56","Bowling Green"
"57","Boyce"
"58","Bradley"
"59","Brescia"
"60","Bridgewater"
"61","Bristol University"
"62","Brown"
"63","Bryant"
"64","Bryn Athyn"
"65","Bucknell"
"66","Buffalo"
"67","Butler"
"68","BYU"
"69","BYU Hawaii"
"70","Cairn University"
"71","Cal Poly"
"72","Cal State-Los Angeles"
"73","Cal State Dominguez Hills"
"74","Cal State East Bay"
"75","Cal State Fullerton"
"76","California"
"77","Campbell"
"78","Campbellsville"
"79","Canisius"
"80","Carroll College Montana"
"81","Catawba"
"82","Cedarville"
"83","Centenary"
"84","Central Arkansas"
"85","Central Baptist Coll"
"86","Central Connecticut"
"87","Central Michigan"
"88","Central Pennsylvania College"
"89","Central State (OH)"
"90","Chadron State"
"91","Chaminade"
"92","Chapman"
"93","Charleston"
"94","Charleston Southern"
"95","Charlotte"
"96","Chattanooga"
"97","Chestnut Hill Colleg"
"98","Cheyney"
"99","Chicago State"
"100","Chowan"
"101","Cincinnati"
"102","Cincinnati Christian"
"103","Cincinnati Clermont"
"104","Clemson"
"105","Cleveland State"
"106","CO Christian"
"107","Coastal Carolina"
"108","Coker"
"109","Colgate"
"110","College of Coastal Georgia"
"111","College of Idaho"
"112","Colorado"
"113","Colorado State"
"114","Columbia"
"115","Columbia Internatl"
"116","Concordia OR"
"117","Connecticut"
"118","Coppin State"
"119","Cornell"
"120","Covenant"
"121","Creighton"
"122","Crowley's Ridge College"
"123","CS Monterey Bay"
"124","CS Northridge"
"125","CSU Bakersfield"
"126","Cumberland TENN"
"127","Dallas Christian"
"128","Daniel Webster"
"129","Dartmouth"
"130","Davidson"
"131","Dayton"
"132","Delaware"
"133","Delaware State"
"134","Denison"
"135","Denver"
"136","DePaul"
"137","Detroit"
"138","Dickinson State"
"139","Dillard"
"140","Drake"
"141","Drexel"
"142","Dubuque"
"143","Duke"
"144","Duquesne"
"145","East Carolina"
"146","East Central"
"147","East Mennonite"
"148","East Tenn. St."
"149","Eastern Illinois"
"150","Eastern Kentucky"
"151","Eastern Michigan"
"152","Eastern Washington"
"153","Ecclesia"
"154","Eckerd College"
"155","Edward Waters"
"156","Elon"
"157","Embry-Riddle Aeronau"
"158","Emerson"
"159","Emmanuel"
"160","Emporia State"
"161","Eureka"
"162","Evansville"
"163","Fairfield"
"164","Fairleigh Dickinson"
"165","Farmingdale State"
"166","FDU-Florham"
"167","Ferrum"
"168","Fisher College"
"169","Fisk"
"170","Florida"
"171","Florida A&M"
"172","Florida Atlantic"
"173","Florida College"
"174","Florida Gulf Coast"
"175","Florida Intl"
"176","Florida Memorial"
"177","Florida National"
"178","Florida State"
"179","Florida Tech"
"180","Fordham"
"181","Fort Valley State"
"182","Francis Marion"
"183","Fresno Pacific"
"184","Fresno State"
"185","Ft. Lewis"
"186","Furman"
"187","Gallaudet University"
"188","Gardner-Webb"
"189","Geneva"
"190","George Fox"
"191","George Mason"
"192","George Washington"
"193","Georgetown"
"194","Georgia"
"195","Georgia Southern"
"196","Georgia State"
"197","Georgia Tech"
"198","Goldey-Beacom"
"199","Gonzaga"
"200","Goucher"
"201","Grace Bible College"
"202","Grambling St"
"203","Grand Canyon"
"204","Green Bay"
"205","Greensboro"
"206","Hampton"
"207","Hannibal-LaGrange"
"208","Hardin-Simmons"
"209","Harris Stowe"
"210","Harrisburg"
"211","Hartford"
"212","Harvard"
"213","Hawai'i"
"214","Hawaii Hilo"
"215","Hawaii Pacific"
"216","Henderson State"
"217","High Point"
"218","Hillsdale Free Will Baptist"
"219","Hiram"
"220","Hiwassee College"
"221","Hofstra"
"222","Holy Cross"
"223","Holy Names"
"224","Houston"
"225","Houston Baptist"
"226","Howard"
"227","Howard Payne"
"228","Idaho"
"229","Idaho State"
"230","Illinois"
"231","Illinois-Springfield"
"232","Illinois State"
"233","Illinois Tech"
"234","Incarnate Word"
"235","Indiana"
"236","Indiana State"
"237","Iona"
"238","Iowa"
"239","Iowa State"
"240","IPFW"
"241","IU-Kokomo"
"242","IU-Northwest"
"243","IUPUI"
"244","Jackson State"
"245","Jacksonville"
"246","Jacksonville State"
